id,name,authors,original_price,price,categories,all_time_quantity_sold,rating_average,review_count,pages,manuafacture
5087505,Ám Dạ Hành (Trinh Thám Hiện Đại Trung Quốc),Nhạc Dũng,151000,75500,Sách tiếng Việt,227,5,47,408.00,Nhà Xuất Bản Văn Học
109982972,Marie Curie - Nhà Nữ Khoa Học Kiệt Xuất,Rasmus Hoài Nam,75000,52400,Root,253,5,48,213.00,Nhà Xuất Bản Thanh Niên
6807847,Cảm Ơn Người Lớn (Bìa Mềm),Nguyễn Nhật Ánh,110000,81900,Sách tiếng Việt,31954,4.8,1042,264.00,NXB Trẻ
11413619,Combo Mẹ Hỏi Bé Trả Lời (4 Cuốn),Yosbook,120000,84000,Kiến thức - Bách khoa,2341,4.8,200,88.00,
1544255,Băng Keo Trong 5F (2 Cuộn / Lốc),,35000,35000,Băng keo trong suốt,368,5,36,,
130997089,"[Manga] Diệt Slime Suốt 300 Năm, Tôi Levelmax Lúc Nào Chẳng Hay (Tập 6)",Kisetsu Morita,48000,34600,"Truyện Tranh, Manga, Comic",826,4.8,255,176.00,Nhà Xuất Bản Thế Giới
77481097,Nghề Nhân Sự Việt - Nghìn Lẻ Chuyện Giờ Mới Kể,Nhóm tác giả VNHR,199000,99600,Sách quản trị nhân lực,590,5,102,308.00,Nhà Xuất Bản Công Thương
73553840,Truyện Thiếu Nhi Hạt Giống Tâm Hồn - Thế Giới Trong Ngăn Tủ (Tái Bản 2020),First News Tổng Hợp,40000,33200,Truyện kể cho bé,20,5,1,56.00,Nhà Xuất Bản Tổng hợp TP.HCM
72688722,Giáo Dục - Tương Lai & Đổi Mới,Nguyễn Chí Hiếu,180000,132000,Sách tiếng Việt,893,5,124,336.00,Nhà Xuất Bản Thế Giới
171821043,"Bộ ""Anne Tóc Đỏ"" 8 Cuốn",Lucy Maud Montgomery,972000,718000,Sách tiếng Việt,521,5,100,430.00,Nhà Xuất Bản Hội Nhà Văn
36311444,Đàn Ông Sao Hỏa Đàn Bà Sao Kim (Tặng Bookmark PL),John Gray,188000,150000,Sách tiếng Việt,1,0,0,488.00,Nhà Xuất Bản Hồng Đức
161426372,Trí Huệ - Những Hiểu Biết Thay Đổi Cuộc Đời,Oprah Winfrey,210000,155000,Nhà Sách Tiki,577,5,83,248.00,NXB Trẻ
11119019,Oxford Advanced Learner's Dictionary 8th Edition (With Vietnamese Translation) and CD - ROM (Paperback),Oxford University Press,625000,562500,Dictionary,1190,4.8,223,2098.00,Oxford University Press
76117849,Luyện Kỹ Năng Nghe Tiếng Anh (Trình Độ Cơ Bản) -Tactics For Listening Basic,Xuân Lan,90000,90000,Nhà Sách Tiki,681,4.8,118,252.00,Nhà Xuất Bản Thanh Hóa
100382935,Sách - Hành Trình Về Phương Đông (Bìa Mềm - Tái bản 2021) - First News,Baird T. Spalding,90000,90000,Sách tiếng Việt,1,0,0,151.00,Nhà Xuất Bản Thế Giới
52691750,Tự Do Đầu Tiên & Cuối Cùng,J.Krishnamurti,178000,129000,Triết Học phương Đông,1626,5,201,436.00,Nhà Xuất Bản Tổng hợp TP.HCM
175967753,Komi - Nữ Thần Sợ Giao Tiếp Tập 9,Tomohito Oda,25000,17500,"Truyện Tranh, Manga, Comic",726,4.8,174,192.00,Nhà Xuất Bản Kim Đồng
46107066,Học Cách Học,Barbara Oakley,159000,119000,Root,867,5,72,280.00,Nhà Xuất Bản Thế Giới
160814425,Thai Giáo Theo Chuyên Gia - 280 Ngày - Mỗi Ngày Đọc Một Trang (Tái Bản 2021),Trạch Quế Vinh,115000,77100,Thai giáo,606,5,27,256.00,Nhà Xuất Bản Phụ Nữ Việt Nam
158972052,Cẩm Nang Con Trai,Violeta Basic,68000,48000,Root,567,5,36,136.00,Nhà Xuất Bản Tổng hợp TP.HCM
173420792,Người Hạt Dẻ,Søren Sveistrup,199000,179100,Truyện trinh thám,,0,0,524.00,Nhà Xuất Bản Văn Học
172422019,Vì Con Gái Tôi Có Thể Đánh Bại Cả Ma Vương - Tập 5 - Tặng Kèm Poster + Bookmark,CHIROLU,140000,119000,Root,130,5,27,,Nhà Xuất Bản Phụ Nữ Việt Nam
100376369,Đứa Con Gái Hoang Đàng - Hai Số Phận - Phần II,Jeffrey Archer,209000,129000,Tiểu Thuyết Phương Tây,3835,4.6,850,836.00,Nhà Xuất Bản Lao Động
